,keyword,threshold,threshold_relax,algo,modularity,performance,coverage,nodes
0,gasoline,0.5,0.75,greedy,0.0,1.0,1.0,2
1,gasoline,0.5,0.75,louvain,0.0,1.0,1.0,2
2,gasoline,0.5,1.0,greedy,0.0,1.0,1.0,2
3,gasoline,0.5,1.0,louvain,0.0,1.0,1.0,2
4,gasoline,0.5,1.25,greedy,0.0,1.0,1.0,2
5,gasoline,0.5,1.25,louvain,0.0,1.0,1.0,2
6,gasoline,0.5,1.5,greedy,0.0,1.0,1.0,2
7,gasoline,0.5,1.5,louvain,0.0,1.0,1.0,2
8,gasoline,0.5,1.75,greedy,0.0,1.0,1.0,2
9,gasoline,0.5,1.75,louvain,0.0,1.0,1.0,2
10,gasoline,0.5,2.0,greedy,0.0,1.0,1.0,2
11,gasoline,0.5,2.0,louvain,0.0,1.0,1.0,2
12,gasoline,0.5,2.25,greedy,0.0,1.0,1.0,2
13,gasoline,0.5,2.25,louvain,0.0,1.0,1.0,2
14,gasoline,0.5,2.5,greedy,0.0,1.0,1.0,2
15,gasoline,0.5,2.5,louvain,0.0,1.0,1.0,2
16,gasoline,0.5,2.75,greedy,0.0,1.0,1.0,2
17,gasoline,0.5,2.75,louvain,0.0,1.0,1.0,2
18,gasoline,0.5,3.0,greedy,0.0,1.0,1.0,2
19,gasoline,0.5,3.0,louvain,0.0,1.0,1.0,2
20,gasoline,0.5,3.25,greedy,0.0,1.0,1.0,2
21,gasoline,0.5,3.25,louvain,0.0,1.0,1.0,2
22,gasoline,0.5,3.5,greedy,0.0,1.0,1.0,2
23,gasoline,0.5,3.5,louvain,0.0,1.0,1.0,2
24,gasoline,0.5,3.75,greedy,0.0,1.0,1.0,2
25,gasoline,0.5,3.75,louvain,0.0,1.0,1.0,2
26,gasoline,0.5,4.0,greedy,0.0,1.0,1.0,2
27,gasoline,0.5,4.0,louvain,0.0,1.0,1.0,2
28,gasoline,0.5,4.25,greedy,0.0,1.0,1.0,2
29,gasoline,0.5,4.25,louvain,0.0,1.0,1.0,2
30,gasoline,0.5,4.5,greedy,0.0,1.0,1.0,2
31,gasoline,0.5,4.5,louvain,0.0,1.0,1.0,2
32,gasoline,0.5,4.75,greedy,0.0,1.0,1.0,2
33,gasoline,0.5,4.75,louvain,0.0,1.0,1.0,2
34,gasoline,0.5,5.0,greedy,0.0,1.0,1.0,2
35,gasoline,0.5,5.0,louvain,0.0,1.0,1.0,2
36,gasoline,0.5,5.25,greedy,0.0,1.0,1.0,2
37,gasoline,0.5,5.25,louvain,0.0,1.0,1.0,2
38,gasoline,0.5,5.5,greedy,0.0,1.0,1.0,2
39,gasoline,0.5,5.5,louvain,0.0,1.0,1.0,2
40,gasoline,0.5,5.75,greedy,0.0,1.0,1.0,2
