from,to,weigth
ger_1880_iron_0_body,ger_1900_iron_10_body,1.79022216796875
ger_1880_iron_3_boats,ger_1900_iron_1_boats,2.5760974884033203
ger_1880_iron_3_boats,ger_1910_iron_6_boats,0.4750871658325195
ger_1880_iron_4_sales,ger_1900_iron_7_sales,4.439639568328857
ger_1880_iron_4_sales,ger_1910_iron_2_sales,2.265071392059326
ger_1880_iron_4_sales,ger_1920_iron_1_sales,1.366584300994873
ger_1900_iron_1_boats,ger_1880_iron_3_boats,2.5760974884033203
ger_1900_iron_7_sales,ger_1880_iron_4_sales,4.439639568328857
ger_1900_iron_7_sales,ger_1910_iron_2_sales,3.4448866844177246
ger_1900_iron_7_sales,ger_1920_iron_1_sales,0.1688008308410644
ger_1900_iron_10_body,ger_1880_iron_0_body,1.79022216796875
ger_1900_iron_10_body,ger_1910_iron_0_family,0.387847900390625
ger_1910_iron_0_family,ger_1900_iron_10_body,0.387847900390625
ger_1910_iron_2_sales,ger_1900_iron_7_sales,3.4448866844177246
ger_1910_iron_2_sales,ger_1880_iron_4_sales,2.265071392059326
ger_1910_iron_6_boats,ger_1880_iron_3_boats,0.4750871658325195
ger_1920_iron_1_sales,ger_1930_iron_3_real_estate,1.9825897216796875
ger_1920_iron_1_sales,ger_1880_iron_4_sales,1.366584300994873
ger_1920_iron_1_sales,ger_1900_iron_7_sales,0.1688008308410644
ger_1920_iron_4_politics,ger_1930_iron_2_politics,0.2302970886230468
ger_1930_iron_2_politics,ger_1920_iron_4_politics,0.2302970886230468
ger_1930_iron_3_real_estate,ger_1920_iron_1_sales,1.9825897216796875
eng_1830_iron_5_boats,eng_1855_iron_10_boats,0.9840059280395508
eng_1830_iron_5_boats,eng_1865_iron_2_sales,0.2731828689575195
eng_1830_iron_5_boats,eng_1875_iron_2_boats,0.2052588462829589
eng_1830_iron_8_stock,eng_1855_iron_9_stock,0.1144165992736816
eng_1830_iron_9_boats,eng_1850_iron_4_boats,3.7616384029388423
eng_1830_iron_9_boats,eng_1870_iron_4_boats,3.552757978439331
eng_1830_iron_9_boats,eng_1855_iron_3_ships,3.505290269851685
eng_1830_iron_9_boats,eng_1875_iron_1_boats,2.6975245475769043
eng_1850_iron_0_politics,eng_1855_iron_1_government,1.946920394897461
eng_1850_iron_2_stock,eng_1855_iron_9_stock,2.137096405029297
eng_1850_iron_3_sales,eng_1855_iron_0_real_estate,0.7722725868225098
eng_1850_iron_3_sales,eng_1865_iron_2_sales,0.7029781341552734
eng_1850_iron_4_boats,eng_1830_iron_9_boats,3.7616384029388423
eng_1850_iron_4_boats,eng_1855_iron_3_ships,3.5714290142059326
eng_1850_iron_4_boats,eng_1870_iron_4_boats,1.5872373580932615
eng_1850_iron_4_boats,eng_1875_iron_1_boats,0.8838381767272949
eng_1850_iron_5_hiring,eng_1855_iron_6_hiring,4.068474054336548
eng_1850_iron_5_hiring,eng_1865_iron_0_hiring,3.641170501708984
eng_1850_iron_5_hiring,eng_1870_iron_2_hirjng,3.44556736946106
eng_1850_iron_5_hiring,eng_1875_iron_0_hiring,2.931485891342163
eng_1850_iron_5_hiring,eng_1860_iron_0_hiring,2.5031769275665283
eng_1855_iron_0_real_estate,eng_1850_iron_3_sales,0.7722725868225098
eng_1855_iron_1_government,eng_1850_iron_0_politics,1.946920394897461
eng_1855_iron_3_ships,eng_1850_iron_4_boats,3.5714290142059326
eng_1855_iron_3_ships,eng_1830_iron_9_boats,3.505290269851685
eng_1855_iron_3_ships,eng_1870_iron_4_boats,1.2334952354431152
eng_1855_iron_3_ships,eng_1875_iron_1_boats,0.5075521469116211
eng_1855_iron_3_ships,eng_1860_iron_3_boats,0.1701269149780273
eng_1855_iron_6_hiring,eng_1865_iron_0_hiring,4.112905979156494
eng_1855_iron_6_hiring,eng_1870_iron_2_hirjng,4.091872453689575
eng_1855_iron_6_hiring,eng_1850_iron_5_hiring,4.068474054336548
eng_1855_iron_6_hiring,eng_1875_iron_0_hiring,3.5271174907684326
eng_1855_iron_6_hiring,eng_1860_iron_0_hiring,0.5080828666687012
eng_1855_iron_9_stock,eng_1850_iron_2_stock,2.137096405029297
eng_1855_iron_9_stock,eng_1830_iron_8_stock,0.1144165992736816
eng_1855_iron_10_boats,eng_1865_iron_2_sales,0.9928827285766602
