id,lang,timespan,keyword,topics,topic_name,count
eng_1840_telephone_0,eng,1840,telephone,"['price', 'assortment', 'Broadway', 'article', 'instrument', 'retail', 'street', 'wholesale', 'hair', 'Fulton', 'offer', 'cent', 'stock', 'Wall', 'style']",sales,47
eng_1840_telephone_1,eng,1840,telephone,"['John', 'Mary', 'Smith', 'Henry', 'James', 'Capt', 'Brown', 'Edward', 'Patrick', 'Thomas', 'Sarah', 'Martin', 'William', 'David', 'George']",random,0
eng_1840_telephone_2,eng,1840,telephone,"['word', 'Bible', 'character', 'language', 'school', 'society', 'Lord', 'race', 'dress', 'idea', 'sound', 'white', 'represent', 'history', 'Austria']",religion,25
eng_1840_telephone_3,eng,1840,telephone,"['night', 'evening', 'appear', 'theatre', 'hear', 'prisoner', 'play', 'yesterday', 'woman', 'move', 'house', 'opera', 'perform', 'morrow', 'crowd']",theatre,43
eng_1840_telephone_4,eng,1840,telephone,"['General', 'army', 'rebel', 'regiment', 'government', 'officer', 'enemy', 'troop', 'Colonel', 'battle', 'right', 'drive', 'command', 'british', 'horse']",war,25
eng_1840_telephone_5,eng,1840,telephone,"['water', 'river', 'England', 'Mexico', 'reach', 'increase', 'mountain', 'country', 'state', 'mile', 'contract', 'thousand', 'carry', 'operation', 'letter']",travel,24
eng_1840_telephone_6,eng,1840,telephone,"['funeral', 'invite', 'residence', 'aged', 'attend', 'relative', 'market', 'January', 'year', 'Sunday', 'friend', 'afternoon', 'July', 'county', 'Monday']",funeral,30
eng_1840_telephone_7,eng,1840,telephone,"['question', 'bill', 'President', 'report', 'resolution', 'Committee', 'Senate', 'committee', 'vote', 'Congress', 'witness', 'Court', 'whig', 'party', 'Convention']",politics,43
eng_1840_telephone_8,eng,1840,telephone,"['street', 'apply', 'avenue', 'room', 'Address', 'Broadway', 'Board', 'want', 'family', 'gentleman', 'Herald', 'atreet', 'reference', 'house', 'private']",hiring,68
eng_1840_telephone_9,eng,1840,telephone,"['tbat', 'thai', 'will', 'tlio', 'hare', 'tell', 'week', 'light', 'Railroad', 'anil', 'lead', 'thin', 'tint', 'wear', 'till']",random,0
eng_1840_telephone_10,eng,1840,telephone,"['NYork', 'brig', 'bark', 'Schr', 'Boston', 'Baltimore', 'ship', 'Philadelphia', 'Bark', 'April', 'Brig', 'Liverpool', 'Ship', 'port', 'schr']",boats,36
eng_1840_telephone_11,eng,1840,telephone,"['cause', 'church', 'people', 'think', 'meeting', 'public', 'believe', 'regard', 'long', 'result', 'principle', 'view', 'doubt', 'ment', 'condition']",random,0
eng_1840_telephone_12,eng,1840,telephone,"['cure', 'disease', 'freight', 'cabin', 'street', 'remedy', 'bottle', 'North', 'medicine', 'case', 'Albany', 'stricture', 'passenger', 'pain', 'ship']",medicine,14
eng_1870_telephone_0,eng,1870,telephone,"['year', 'street', 'tlio', 'prize', 'morning', 'place', 'invite', 'Church', 'funeral', 'State', 'late', 'book', 'John', 'receive', 'number']",funeral,57
eng_1870_telephone_1,eng,1870,telephone,"['yesterday', 'people', 'come', 'government', 'know', 'Judge', 'think', 'report', 'length', 'pass', 'fact', 'race', 'England', 'question', 'matter']",politics,377
eng_1870_telephone_2,eng,1870,telephone,"['bark', 'steady', 'dull', 'Schr', 'head', 'bushel', 'brig', 'weight', 'April', 'York', 'middling', 'Liverpool', 'Baltimore', 'quiet', 'wheat']",boats,74
eng_1870_telephone_3,eng,1870,telephone,"['MATINEE', 'street', 'Miss', 'SATURDAY', 'THEATRE', 'theatre', 'evening', 'avenue', 'EVENING', 'MONDAY', 'concert', 'opera', 'admission', 'grand', 'WEEK']",theatre,327
eng_1870_telephone_4,eng,1870,telephone,"['Herald', 'Harness', 'office', 'reference', 'Broadway', 'warrant', 'draw', 'Address', 'Wagon', 'private', 'trot', 'horse', 'Uptown', 'room', 'near']",public interest,242
eng_1870_telephone_5,eng,1870,telephone,"['pier', 'North', 'River', 'leave', 'steamer', 'ticket', 'excursion', 'freight', 'foot', 'CITY', 'passage', 'connect', 'July', 'December', 'trip']",boats,170
